epoch,train loss,val loss
1,1.0859027431382762,0.9391512513160706
2,0.8822441156227867,0.7929420477814144
3,0.7854081983496617,0.7288180271784465
4,0.7239158868596152,0.6844480428430769
5,0.6849883154228136,0.6559084567758772
6,0.6419373176895179,0.6379039035903082
7,0.6040306126142477,0.6200872616635429
8,0.5724535671534476,0.6306272771623399
9,0.5226398993331891,0.640339332818985
10,0.4770517025094528,0.647108656167984
11,0.42125043732585843,0.6873088361488449
12,0.35667426211686876,0.7407634433772828
13,0.2901773050959621,0.8796376450194253
14,0.2312719046876028,1.0128764410813649
15,0.18454934443746293,1.0718580858574973
16,0.15469291407989894,1.2746658643086752
17,0.1361854102934239,1.2440329472223917
18,0.1222507494105655,1.4315069576104482
